NumeroIteracoes,1
Keff,1.000000000000

Malha,Posicao,Fluxo_Grupo1,Fluxo_Grupo2
1,0.2000,0.003141587,0.000466349
2,0.4000,0.009424638,0.001399029
3,0.6000,0.015707317,0.002331653
4,0.8000,0.021989376,0.003264185
5,1.0000,0.028270567,0.004196589
6,1.2000,0.034550641,0.005128826
7,1.4000,0.040829352,0.006060862
8,1.6000,0.047106451,0.006992658
9,1.8000,0.053381690,0.007924178
10,2.0000,0.059654821,0.008855385
11,2.2000,0.065925598,0.009786242
12,2.4000,0.072193772,0.010716714
13,2.6000,0.078459096,0.011646762
14,2.8000,0.084721322,0.012576350
15,3.0000,0.090980204,0.013505442
16,3.2000,0.097235494,0.014434000
17,3.4000,0.103486945,0.015361989
18,3.6000,0.109734311,0.016289372
19,3.8000,0.115977345,0.017216111
20,4.0000,0.122215800,0.018142170
21,4.2000,0.128449430,0.019067514
22,4.4000,0.134677989,0.019992105
23,4.6000,0.140901232,0.020915906
24,4.8000,0.147118912,0.021838882
25,5.0000,0.153330784,0.022760995
26,5.2000,0.159536602,0.023682210
27,5.4000,0.165736123,0.024602490
28,5.6000,0.171929100,0.025521799
29,5.8000,0.178115290,0.026440100
30,6.0000,0.184294449,0.027357357
31,6.2000,0.190466331,0.028273535
32,6.4000,0.196630695,0.029188596
33,6.6000,0.202787295,0.030102505
34,6.8000,0.208935890,0.031015225
35,7.0000,0.215076237,0.031926721
36,7.2000,0.221208093,0.032836957
37,7.4000,0.227331216,0.033745896
38,7.6000,0.233445364,0.034653503
39,7.8000,0.239550296,0.035559742
40,8.0000,0.245645771,0.036464577
41,8.2000,0.251731549,0.037367973
42,8.4000,0.257807388,0.038269893
43,8.6000,0.263873050,0.039170303
44,8.8000,0.269928294,0.040069166
45,9.0000,0.275972883,0.040966447
46,9.2000,0.282006576,0.041862111
47,9.4000,0.288029136,0.042756122
48,9.6000,0.294040325,0.043648446
49,9.8000,0.300039906,0.044539046
50,10.0000,0.306027642,0.045427888
51,10.2000,0.312003297,0.046314936
