NumeroIteracoes,38
Keff,0.758448810439

Malha,Posicao,Fluxo_Grupo1,Fluxo_Grupo2
1,0.2000,0.025071708,0.003721667
2,0.4000,0.075214054,0.011164844
3,0.6000,0.125353292,0.018607559
4,0.8000,0.175487383,0.026049511
5,1.0000,0.225614290,0.033490395
6,1.2000,0.275731974,0.040929912
7,1.4000,0.325838398,0.048367756
8,1.6000,0.375931526,0.055803627
9,1.8000,0.426009320,0.063237222
10,2.0000,0.476069746,0.070668239
11,2.2000,0.526110768,0.078096376
12,2.4000,0.576130355,0.085521330
13,2.6000,0.626126473,0.092942802
14,2.8000,0.676097091,0.100360488
15,3.0000,0.726040179,0.107774087
16,3.2000,0.775953710,0.115183299
17,3.4000,0.825835655,0.122587822
18,3.6000,0.875683989,0.129987357
19,3.8000,0.925496689,0.137381601
20,4.0000,0.975271734,0.144770256
21,4.2000,1.025007102,0.152153022
22,4.4000,1.074700776,0.159529598
23,4.6000,1.124350740,0.166899686
24,4.8000,1.173954980,0.174262987
25,5.0000,1.223511486,0.181619203
26,5.2000,1.273018247,0.188968034
27,5.4000,1.322473257,0.196309183
28,5.6000,1.371874514,0.203642353
29,5.8000,1.421220014,0.210967246
30,6.0000,1.470507760,0.218283567
31,6.2000,1.519735756,0.225591018
32,6.4000,1.568902009,0.232889304
33,6.6000,1.618004531,0.240178129
34,6.8000,1.667041333,0.247457200
35,7.0000,1.716010435,0.254726220
36,7.2000,1.764909855,0.261984897
37,7.4000,1.813737617,0.269232938
38,7.6000,1.862491749,0.276470048
39,7.8000,1.911170281,0.283695936
40,8.0000,1.959771249,0.290910311
41,8.2000,2.008292689,0.298112881
42,8.4000,2.056732646,0.305303355
43,8.6000,2.105089165,0.312481444
44,8.8000,2.153360296,0.319646857
45,9.0000,2.201544095,0.326799307
46,9.2000,2.249638620,0.333938505
47,9.4000,2.297641935,0.341064164
48,9.6000,2.345552107,0.348175997
49,9.8000,2.393367209,0.355273717
50,10.0000,2.441085318,0.362357040
51,10.2000,2.488704516,0.369425680
52,10.4000,2.536222888,0.376479353
53,10.6000,2.583638527,0.383517777
54,10.8000,2.630949529,0.390540669
55,11.0000,2.678153995,0.397547746
56,11.2000,2.725250033,0.404538728
57,11.4000,2.772235754,0.411513335
58,11.6000,2.819109275,0.418471286
59,11.8000,2.865868720,0.425412304
60,12.0000,2.912512216,0.432336111
61,12.2000,2.959037898,0.439242429
62,12.4000,3.005443905,0.446130982
63,12.6000,3.051728381,0.453001496
64,12.8000,3.097889479,0.459853695
65,13.0000,3.143925355,0.466687306
66,13.2000,3.189834172,0.473502056
67,13.4000,3.235614100,0.480297674
68,13.6000,3.281263313,0.487073888
69,13.8000,3.326779993,0.493830429
70,14.0000,3.372162328,0.500567028
71,14.2000,3.417408512,0.507283417
72,14.4000,3.462516745,0.513979328
73,14.6000,3.507485235,0.520654495
74,14.8000,3.552312196,0.527308654
75,15.0000,3.596995848,0.533941540
76,15.2000,3.641534418,0.540552890
77,15.4000,3.685926140,0.547142442
78,15.6000,3.730169255,0.553709934
79,15.8000,3.774262012,0.560255107
80,16.0000,3.818202665,0.566777702
81,16.2000,3.861989477,0.573277460
82,16.4000,3.905620716,0.579754125
83,16.6000,3.949094660,0.586207441
84,16.8000,3.992409592,0.592637154
85,17.0000,4.035563803,0.599043008
86,17.2000,4.078555593,0.605424753
87,17.4000,4.121383267,0.611782137
88,17.6000,4.164045140,0.618114908
89,17.8000,4.206539533,0.624422819
90,18.0000,4.248864775,0.630705621
91,18.2000,4.291019204,0.636963067
92,18.4000,4.333001164,0.643194912
93,18.6000,4.374809009,0.649400911
94,18.8000,4.416441098,0.655580821
95,19.0000,4.457895801,0.661734400
96,19.2000,4.499171495,0.667861406
97,19.4000,4.540266565,0.673961600
98,19.6000,4.581179404,0.680034744
99,19.8000,4.621908414,0.686080600
100,20.0000,4.662452004,0.692098932
101,20.2000,4.702808593,0.698089506
102,20.4000,4.742976608,0.704052087
103,20.6000,4.782954484,0.709986444
104,20.8000,4.822740664,0.715892346
105,21.0000,4.862333601,0.721769562
106,21.2000,4.901731756,0.727617865
107,21.4000,4.940933599,0.733437028
108,21.6000,4.979937608,0.739226823
109,21.8000,5.018742271,0.744987028
110,22.0000,5.057346083,0.750717418
111,22.2000,5.095747550,0.756417771
112,22.4000,5.133945186,0.762087868
113,22.6000,5.171937513,0.767727489
114,22.8000,5.209723064,0.773336416
115,23.0000,5.247300380,0.778914432
116,23.2000,5.284668011,0.784461322
117,23.4000,5.321824518,0.789976873
118,23.6000,5.358768467,0.795460871
119,23.8000,5.395498438,0.800913107
120,24.0000,5.432013018,0.806333370
121,24.2000,5.468310804,0.811721451
122,24.4000,5.504390401,0.817077145
123,24.6000,5.540250426,0.822400244
124,24.8000,5.575889503,0.827690547
125,25.0000,5.611306266,0.832947849
126,25.2000,5.646499361,0.838171949
127,25.4000,5.681467440,0.843362648
128,25.6000,5.716209167,0.848519746
129,25.8000,5.750723216,0.853643048
130,26.0000,5.785008268,0.858732358
131,26.2000,5.819063017,0.863787481
132,26.4000,5.852886164,0.868808225
133,26.6000,5.886476422,0.873794399
134,26.8000,5.919832513,0.878745813
135,27.0000,5.952953169,0.883662279
136,27.2000,5.985837131,0.888543609
137,27.4000,6.018483152,0.893389619
138,27.6000,6.050889992,0.898200126
139,27.8000,6.083056424,0.902974945
140,28.0000,6.114981230,0.907713898
141,28.2000,6.146663200,0.912416804
142,28.4000,6.178101138,0.917083485
143,28.6000,6.209293856,0.921713766
144,28.8000,6.240240175,0.926307471
145,29.0000,6.270938928,0.930864427
146,29.2000,6.301388958,0.935384462
147,29.4000,6.331589118,0.939867407
148,29.6000,6.361538270,0.944313091
149,29.8000,6.391235289,0.948721349
150,30.0000,6.420679057,0.953092014
151,30.2000,6.449868470,0.957424922
152,30.4000,6.478802431,0.961719911
153,30.6000,6.507479856,0.965976819
154,30.8000,6.535899670,0.970195487
155,31.0000,6.564060808,0.974375758
156,31.2000,6.591962216,0.978517473
157,31.4000,6.619602852,0.982620479
158,31.6000,6.646981682,0.986684623
159,31.8000,6.674097685,0.990709752
160,32.0000,6.700949847,0.994695716
161,32.2000,6.727537168,0.998642368
162,32.4000,6.753858657,1.002549558
163,32.6000,6.779913335,1.006417143
164,32.8000,6.805700231,1.010244979
165,33.0000,6.831218386,1.014032922
166,33.2000,6.856466853,1.017780832
167,33.4000,6.881444694,1.021488570
168,33.6000,6.906150981,1.025155999
169,33.8000,6.930584799,1.028782982
170,34.0000,6.954745242,1.032369385
171,34.2000,6.978631416,1.035915075
172,34.4000,7.002242436,1.039419921
173,34.6000,7.025577428,1.042883793
174,34.8000,7.048635531,1.046306563
175,35.0000,7.071415892,1.049688106
176,35.2000,7.093917671,1.053028295
177,35.4000,7.116140037,1.056327007
178,35.6000,7.138082171,1.059584122
179,35.8000,7.159743264,1.062799519
180,36.0000,7.181122518,1.065973079
181,36.2000,7.202219147,1.069104686
182,36.4000,7.223032375,1.072194225
183,36.6000,7.243561436,1.075241582
184,36.8000,7.263805576,1.078246645
185,37.0000,7.283764051,1.081209303
186,37.2000,7.303436130,1.084129449
187,37.4000,7.322821090,1.087006974
188,37.6000,7.341918220,1.089841773
189,37.8000,7.360726822,1.092633743
190,38.0000,7.379246205,1.095382781
191,38.2000,7.397475693,1.098088787
192,38.4000,7.415414618,1.100751661
193,38.6000,7.433062323,1.103371306
194,38.8000,7.450418165,1.105947627
195,39.0000,7.467481509,1.108480529
196,39.2000,7.484251731,1.110969919
197,39.4000,7.500728220,1.113415708
198,39.6000,7.516910374,1.115817805
199,39.8000,7.532797603,1.118176123
200,40.0000,7.548389329,1.120490577
201,40.2000,7.563684982,1.122761081
202,40.4000,7.578684006,1.124987553
203,40.6000,7.593385854,1.127169912
204,40.8000,7.607789992,1.129308078
205,41.0000,7.621895895,1.131401974
206,41.2000,7.635703051,1.133451524
207,41.4000,7.649210956,1.135456653
208,41.6000,7.662419121,1.137417288
209,41.8000,7.675327065,1.139333357
210,42.0000,7.687934319,1.141204792
