NumeroIteracoes,35
Keff,0.758262662909

Malha,Posicao,Fluxo_Grupo1,Fluxo_Grupo2
1,0.2000,0.025154344,0.003733859
2,0.4000,0.075461955,0.011201418
3,0.6000,0.125766406,0.018668508
4,0.8000,0.176065593,0.026134816
5,1.0000,0.226357409,0.033600030
6,1.2000,0.276639750,0.041063838
7,1.4000,0.326910512,0.048525927
8,1.6000,0.377167590,0.055985985
9,1.8000,0.427408881,0.063443699
10,2.0000,0.477632284,0.070898759
11,2.2000,0.527835698,0.078350851
12,2.4000,0.578017023,0.085799664
13,2.6000,0.628174160,0.093244887
14,2.8000,0.678305013,0.100686209
15,3.0000,0.728407486,0.108123318
16,3.2000,0.778479485,0.115555903
17,3.4000,0.828518919,0.122983655
18,3.6000,0.878523697,0.130406262
19,3.8000,0.928491732,0.137823416
20,4.0000,0.978420938,0.145234806
21,4.2000,1.028309231,0.152640123
22,4.4000,1.078154530,0.160039058
23,4.6000,1.127954757,0.167431303
24,4.8000,1.177707837,0.174816549
25,5.0000,1.227411696,0.182194489
26,5.2000,1.277064264,0.189564816
27,5.4000,1.326663474,0.196927223
28,5.6000,1.376207262,0.204281403
29,5.8000,1.425693568,0.211627051
30,6.0000,1.475120334,0.218963860
31,6.2000,1.524485507,0.226291528
32,6.4000,1.573787037,0.233609748
33,6.6000,1.623022877,0.240918217
34,6.8000,1.672190985,0.248216633
35,7.0000,1.721289322,0.255504692
36,7.2000,1.770315854,0.262782093
37,7.4000,1.819268551,0.270048534
38,7.6000,1.868145386,0.277303714
39,7.8000,1.916944339,0.284547334
40,8.0000,1.965663392,0.291779094
41,8.2000,2.014300534,0.298998695
42,8.4000,2.062853756,0.306205839
43,8.6000,2.111321057,0.313400230
44,8.8000,2.159700438,0.320581570
45,9.0000,2.207989907,0.327749564
46,9.2000,2.256187476,0.334903917
47,9.4000,2.304291165,0.342044335
48,9.6000,2.352298995,0.349170523
49,9.8000,2.400208996,0.356282191
50,10.0000,2.448019203,0.363379045
51,10.2000,2.495727656,0.370460795
52,10.4000,2.543332401,0.377527151
53,10.6000,2.590831490,0.384577825
54,10.8000,2.638222981,0.391612526
55,11.0000,2.685504938,0.398630969
56,11.2000,2.732675433,0.405632867
57,11.4000,2.779732541,0.412617934
58,11.6000,2.826674346,0.419585886
59,11.8000,2.873498938,0.426536440
60,12.0000,2.920204413,0.433469312
61,12.2000,2.966788874,0.440384221
62,12.4000,3.013250431,0.447280887
63,12.6000,3.059587202,0.454159030
64,12.8000,3.105797310,0.461018372
65,13.0000,3.151878885,0.467858635
66,13.2000,3.197830067,0.474679542
67,13.4000,3.243649000,0.481480820
68,13.6000,3.289333838,0.488262192
69,13.8000,3.334882739,0.495023387
70,14.0000,3.380293873,0.501764132
71,14.2000,3.425565415,0.508484156
72,14.4000,3.470695547,0.515183190
73,14.6000,3.515682460,0.521860965
74,14.8000,3.560524353,0.528517214
75,15.0000,3.605219433,0.535151671
76,15.2000,3.649765913,0.541764070
77,15.4000,3.694162018,0.548354148
78,15.6000,3.738405978,0.554921642
79,15.8000,3.782496032,0.561466290
80,16.0000,3.826430427,0.567987833
81,16.2000,3.870207419,0.574486012
82,16.4000,3.913825273,0.580960569
83,16.6000,3.957282262,0.587411248
84,16.8000,4.000576667,0.593837793
85,17.0000,4.043706778,0.600239951
86,17.2000,4.086670893,0.606617469
87,17.4000,4.129467322,0.612970097
88,17.6000,4.172094380,0.619297583
89,17.8000,4.214550393,0.625599680
90,18.0000,4.256833695,0.631876141
91,18.2000,4.298942631,0.638126719
92,18.4000,4.340875552,0.644351170
93,18.6000,4.382630821,0.650549251
94,18.8000,4.424206809,0.656720721
95,19.0000,4.465601897,0.662865337
96,19.2000,4.506814474,0.668982863
97,19.4000,4.547842939,0.675073060
98,19.6000,4.588685701,0.681135691
99,19.8000,4.629341179,0.687170523
100,20.0000,4.669807800,0.693177321
101,20.2000,4.710084002,0.699155854
102,20.4000,4.750168231,0.705105892
103,20.6000,4.790058946,0.711027204
104,20.8000,4.829754611,0.716919564
105,21.0000,4.869253704,0.722782746
106,21.2000,4.908554711,0.728616524
107,21.4000,4.947656128,0.734420675
108,21.6000,4.986556461,0.740194979
