Malha,DeltaX,Posicao,CodigoEC
1,0.2000,0.2000,C
2,0.2000,0.4000,C
3,0.2000,0.6000,C
4,0.2000,0.8000,C
5,0.2000,1.0000,C
6,0.2000,1.2000,C
7,0.2000,1.4000,C
8,0.2000,1.6000,C
9,0.2000,1.8000,C
10,0.2000,2.0000,C
11,0.2000,2.2000,C
12,0.2000,2.4000,C
13,0.2000,2.6000,C
14,0.2000,2.8000,C
15,0.2000,3.0000,C
16,0.2000,3.2000,C
17,0.2000,3.4000,C
18,0.2000,3.6000,C
19,0.2000,3.8000,C
20,0.2000,4.0000,C
21,0.2000,4.2000,C
22,0.2000,4.4000,C
23,0.2000,4.6000,C
24,0.2000,4.8000,C
25,0.2000,5.0000,C
26,0.2000,5.2000,C
27,0.2000,5.4000,C
28,0.2000,5.6000,C
29,0.2000,5.8000,C
30,0.2000,6.0000,C
31,0.2000,6.2000,C
32,0.2000,6.4000,C
33,0.2000,6.6000,C
34,0.2000,6.8000,C
35,0.2000,7.0000,C
36,0.2000,7.2000,C
37,0.2000,7.4000,C
38,0.2000,7.6000,C
39,0.2000,7.8000,C
40,0.2000,8.0000,C
41,0.2000,8.2000,C
42,0.2000,8.4000,C
43,0.2000,8.6000,C
44,0.2000,8.8000,C
45,0.2000,9.0000,C
46,0.2000,9.2000,C
47,0.2000,9.4000,C
48,0.2000,9.6000,C
49,0.2000,9.8000,C
50,0.2000,10.0000,C
51,0.2000,10.2000,C
52,0.2000,10.4000,C
53,0.2000,10.6000,C
54,0.2000,10.8000,C
55,0.2000,11.0000,C
56,0.2000,11.2000,C
57,0.2000,11.4000,C
58,0.2000,11.6000,C
59,0.2000,11.8000,C
60,0.2000,12.0000,C
61,0.2000,12.2000,C
62,0.2000,12.4000,C
63,0.2000,12.6000,C
64,0.2000,12.8000,C
65,0.2000,13.0000,C
66,0.2000,13.2000,C
67,0.2000,13.4000,C
68,0.2000,13.6000,C
69,0.2000,13.8000,C
70,0.2000,14.0000,C
71,0.2000,14.2000,C
72,0.2000,14.4000,C
73,0.2000,14.6000,C
74,0.2000,14.8000,C
75,0.2000,15.0000,C
76,0.2000,15.2000,C
77,0.2000,15.4000,C
78,0.2000,15.6000,C
79,0.2000,15.8000,C
80,0.2000,16.0000,C
81,0.2000,16.2000,C
82,0.2000,16.4000,C
83,0.2000,16.6000,C
84,0.2000,16.8000,C
85,0.2000,17.0000,C
86,0.2000,17.2000,C
87,0.2000,17.4000,C
88,0.2000,17.6000,C
89,0.2000,17.8000,C
90,0.2000,18.0000,C
91,0.2000,18.2000,C
92,0.2000,18.4000,C
93,0.2000,18.6000,C
94,0.2000,18.8000,C
95,0.2000,19.0000,C
96,0.2000,19.2000,C
97,0.2000,19.4000,C
98,0.2000,19.6000,C
99,0.2000,19.8000,C
100,0.2000,20.0000,C
101,0.2000,20.2000,C
102,0.2000,20.4000,C
103,0.2000,20.6000,C
104,0.2000,20.8000,C
105,0.2000,21.0000,C
106,0.2000,21.2000,C
107,0.2000,21.4000,C
108,0.2000,21.6000,C
109,0.2000,21.8000,C
110,0.2000,22.0000,C
111,0.2000,22.2000,C
112,0.2000,22.4000,C
113,0.2000,22.6000,C
114,0.2000,22.8000,C
115,0.2000,23.0000,C
116,0.2000,23.2000,C
117,0.2000,23.4000,C
